,ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,300459.SZ,20230420,7.7,8.3,7.63,8.22,7.75,0.47000000000000064,6.0645,5245847.42,4246917.287,300459.SZ,106.029,114.291,105.0651,113.1894,106.7175,6.471900000000005,6.0645,5245847.42,4246917.287
1,300459.SZ,20230419,7.65,8.12,7.6,7.75,7.76,-0.009999999999999787,-0.1289,3669142.86,2880721.7,300459.SZ,105.3405,111.8124,104.652,106.7175,106.8552,-0.13769999999999527,-0.1289,3669142.86,2880721.7
2,300459.SZ,20230418,7.55,7.95,7.32,7.76,7.5,0.2599999999999998,3.4667,3203425.05,2452871.657,300459.SZ,103.9635,109.4715,100.7964,106.8552,103.275,3.5801999999999907,3.4667,3203425.05,2452871.657
3,300459.SZ,20230417,7.8,7.81,7.42,7.5,8.03,-0.5299999999999994,-6.6002,3204348.45,2431333.815,300459.SZ,107.406,107.5437,102.1734,103.275,110.5731,-7.298099999999991,-6.6002,3204348.45,2431333.815
4,300459.SZ,20230414,8.2,8.35,7.71,8.03,8.35,-0.3200000000000003,-3.8323,3717315.61,2990969.252,300459.SZ,112.914,114.9795,106.1667,110.5731,114.9795,-4.406400000000005,-3.8323,3717315.61,2990969.252
5,300459.SZ,20230413,8.22,8.59,8.06,8.35,8.29,0.0600000000000005,0.7238,5047044.4,4192033.602,300459.SZ,113.1894,118.2843,110.9862,114.9795,114.1533,0.8262,0.7238,5047044.4,4192033.602
6,300459.SZ,20230412,7.69,8.34,7.62,8.29,7.7,0.589999999999999,7.6623,5422424.09,4359297.514,300459.SZ,105.8913,114.8418,104.9274,114.1533,106.029,8.124300000000005,7.6623,5422424.09,4359297.514
7,300459.SZ,20230411,7.5,8.05,7.47,7.7,7.51,0.1900000000000004,2.53,4481374.41,3481807.541,300459.SZ,103.275,110.8485,102.8619,106.029,103.4127,2.6162999999999954,2.53,4481374.41,3481807.541
8,300459.SZ,20230410,8.0,8.07,7.35,7.51,8.09,-0.5800000000000001,-7.1693,4688915.1,3580136.775,300459.SZ,110.16,111.1239,101.2095,103.4127,111.3993,-7.986599999999996,-7.1693,4688915.1,3580136.775
9,300459.SZ,20230407,7.62,8.38,7.43,8.09,7.55,0.54,7.1523,6203393.11,4949403.312,300459.SZ,104.9274,115.3926,102.3111,111.3993,103.9635,7.4358,7.1523,6203393.11,4949403.312
10,300459.SZ,20230406,8.06,8.27,7.45,7.55,8.55,-1.0000000000000009,-11.6959,6946839.56,5480373.485,300459.SZ,110.9862,113.8779,102.5865,103.9635,117.7335,-13.77000000000001,-11.6959,6946839.56,5480373.485
11,300459.SZ,20230404,8.63,9.18,8.5,8.55,8.62,-0.06999999999999851,-0.8121,5638714.15,4964360.881,300459.SZ,118.8351,126.4086,117.045,117.7335,118.6974,-0.9638999999999953,-0.8121,5638714.15,4964360.881
12,300459.SZ,20230403,8.03,8.78,8.02,8.62,8.25,0.3699999999999992,4.4848,6279284.49,5258940.384,300459.SZ,110.5731,120.9006,110.4354,118.6974,113.6025,5.0948999999999955,4.4848,6279284.49,5258940.384
13,300459.SZ,20230331,7.58,8.46,7.29,8.25,7.66,0.5899999999999999,7.7023,6395040.83,4995257.584,300459.SZ,104.3766,116.4942,100.3833,113.6025,105.4782,8.124300000000005,7.7023,6395040.83,4995257.584
14,300459.SZ,20230330,7.6,7.85,7.5,7.66,7.64,0.020000000000000462,0.2618,4890168.08,3763316.488,300459.SZ,104.652,108.0945,103.275,105.4782,105.2028,0.27540000000000475,0.2618,4890168.08,3763316.488
15,300459.SZ,20230329,7.18,7.85,7.17,7.64,7.19,0.4499999999999993,6.2587,5985061.68,4540684.297,300459.SZ,98.8686,108.0945,98.7309,105.2028,99.0063,6.1965,6.2587,5985061.68,4540684.297
16,300459.SZ,20230328,7.58,7.6,7.11,7.19,7.8,-0.6099999999999994,-7.8205,4707129.79,3464139.568,300459.SZ,104.3766,104.652,97.9047,99.0063,107.406,-8.39970000000001,-7.8205,4707129.79,3464139.568
17,300459.SZ,20230327,7.54,8.08,7.35,7.8,7.61,0.1899999999999995,2.4967,6873897.65,5263051.11,300459.SZ,103.8258,111.2616,101.2095,107.406,104.7897,2.6163000000000096,2.4967,6873897.65,5263051.11
18,300459.SZ,20230324,7.0,8.08,6.95,7.61,7.1,0.5100000000000007,7.1831,6748640.0,5068487.599,300459.SZ,96.39,111.2616,95.7015,104.7897,97.767,7.0227,7.1831,6748640.0,5068487.599
19,300459.SZ,20230323,6.6,7.34,6.46,7.1,6.74,0.35999999999999943,5.3412,6914096.86,4761443.78,300459.SZ,90.882,101.0718,88.9542,97.767,92.8098,4.9572,5.3412,6914096.86,4761443.78
20,300459.SZ,20230322,6.58,6.85,6.5,6.74,6.68,0.0600000000000005,0.8982,5672527.26,3786961.983,300459.SZ,90.6066,94.3245,89.505,92.8098,91.9836,0.8262,0.8982,5672527.26,3786961.983
21,300459.SZ,20230321,6.54,6.82,6.52,6.68,6.63,0.04999999999999982,0.7541,4292612.58,2869177.939,300459.SZ,90.0558,93.9114,89.7804,91.9836,91.2951,0.6884999999999906,0.7541,4292612.58,2869177.939
22,300459.SZ,20230320,6.92,7.09,6.63,6.63,6.89,-0.2599999999999998,-3.7736,6654663.76,4550376.288,300459.SZ,95.2884,97.6293,91.2951,91.2951,94.8753,-3.5801999999999907,-3.7736,6654663.76,4550376.288
23,300459.SZ,20230317,6.1,7.06,6.1,6.89,5.96,0.9299999999999997,15.604,8353413.01,5461172.781,300459.SZ,83.997,97.2162,83.997,94.8753,82.0692,12.8061,15.604,8353413.01,5461172.781
24,300459.SZ,20230316,5.6,6.15,5.42,5.96,5.65,0.3099999999999996,5.4867,6013144.97,3508456.01,300459.SZ,77.112,84.6855,74.6334,82.0692,77.8005,4.2686999999999955,5.4867,6013144.97,3508456.01
25,300459.SZ,20230315,5.75,5.88,5.6,5.65,5.61,0.040000000000000036,0.713,4094944.43,2342671.093,300459.SZ,79.1775,80.9676,77.112,77.8005,77.2497,0.5507999999999953,0.713,4094944.43,2342671.093
26,300459.SZ,20230314,6.23,6.28,5.39,5.61,6.28,-0.6699999999999999,-10.6688,5978305.05,3573157.289,300459.SZ,85.7871,86.4756,74.2203,77.2497,86.4756,-9.225899999999996,-10.6688,5978305.05,3573157.289
27,300459.SZ,20230313,5.87,6.3,5.76,6.28,5.87,0.41000000000000014,6.9847,5794016.76,3496321.245,300459.SZ,80.8299,86.751,79.3152,86.4756,80.8299,5.645700000000005,6.9847,5794016.76,3496321.245
28,300459.SZ,20230310,6.18,6.2,5.82,5.87,6.15,-0.28000000000000025,-4.5528,5145659.9,3090838.741,300459.SZ,85.0986,85.374,80.1414,80.8299,84.6855,-3.8556000000000097,-4.5528,5145659.9,3090838.741
29,300459.SZ,20230309,6.12,6.35,5.93,6.15,6.16,-0.009999999999999787,-0.1623,4904232.26,3006221.149,300459.SZ,84.2724,87.4395,81.6561,84.6855,84.8232,-0.13769999999999527,-0.1623,4904232.26,3006221.149
30,300459.SZ,20230308,6.1,6.4,5.93,6.16,6.16,0.0,0.0,5071456.42,3126833.556,300459.SZ,83.997,88.128,81.6561,84.8232,84.8232,0.0,0.0,5071456.42,3126833.556
31,300459.SZ,20230307,6.1,6.44,6.0,6.16,6.01,0.15000000000000036,2.4958,6330177.61,3939946.514,300459.SZ,83.997,88.6788,82.62,84.8232,82.7577,2.0655,2.4958,6330177.61,3939946.514
32,300459.SZ,20230306,6.12,6.18,5.85,6.01,6.12,-0.11000000000000032,-1.7974,4801604.01,2866117.305,300459.SZ,84.2724,85.0986,80.5545,82.7577,84.2724,-1.5147000000000048,-1.7974,4801604.01,2866117.305
33,300459.SZ,20230303,5.78,6.24,5.77,6.12,5.98,0.13999999999999968,2.3411,8277185.69,4997850.711,300459.SZ,79.5906,85.9248,79.4529,84.2724,82.3446,1.9278000000000048,2.3411,8277185.69,4997850.711
34,300459.SZ,20230302,5.1,5.98,5.06,5.98,4.98,1.0,20.0803,9200324.25,5086157.27,300459.SZ,70.227,82.3446,69.6762,82.3446,68.5746,13.769999999999996,20.0803,9200324.25,5086157.27
35,300459.SZ,20230301,4.65,5.08,4.64,4.98,4.79,0.1900000000000004,3.9666,5558039.39,2735416.839,300459.SZ,64.0305,69.9516,63.8928,68.5746,65.9583,2.6163000000000096,3.9666,5558039.39,2735416.839
36,300459.SZ,20230228,4.7,4.79,4.52,4.79,4.67,0.1200000000000001,2.5696,4107323.5,1904676.744,300459.SZ,64.719,65.9583,62.2404,65.9583,64.3059,1.6524,2.5696,4107323.5,1904676.744
37,300459.SZ,20230227,4.99,5.03,4.63,4.67,4.99,-0.3200000000000003,-6.4128,4648345.8,2236347.975,300459.SZ,68.7123,69.2631,63.7551,64.3059,68.7123,-4.406400000000005,-6.4128,4648345.8,2236347.975
38,300459.SZ,20230224,4.83,5.19,4.78,4.99,4.72,0.27000000000000046,5.7203,6102197.73,3065305.135,300459.SZ,66.5091,71.4663,65.8206,68.7123,64.9944,3.7179,5.7203,6102197.73,3065305.135
39,300459.SZ,20230223,4.62,4.93,4.44,4.72,4.68,0.040000000000000036,0.8547,5549108.22,2624004.687,300459.SZ,63.6174,67.8861,61.1388,64.9944,64.4436,0.5507999999999953,0.8547,5549108.22,2624004.687
40,300459.SZ,20230222,4.76,4.81,4.35,4.68,4.77,-0.08999999999999986,-1.8868,5670635.77,2583219.968,300459.SZ,65.5452,66.2337,59.8995,64.4436,65.6829,-1.2393,-1.8868,5670635.77,2583219.968
41,300459.SZ,20230221,5.15,5.19,4.67,4.77,5.0,-0.23000000000000043,-4.6,6674084.85,3276235.681,300459.SZ,70.9155,71.4663,64.3059,65.6829,68.85,-3.1670999999999907,-4.6,6674084.85,3276235.681
42,300459.SZ,20230220,5.13,5.26,4.8,5.0,4.84,0.16000000000000014,3.3058,7656475.23,3850445.883,300459.SZ,70.6401,72.4302,66.096,68.85,66.6468,2.2031999999999954,3.3058,7656475.23,3850445.883
43,300459.SZ,20230217,4.42,4.96,4.33,4.84,4.39,0.4500000000000002,10.2506,7813671.47,3612364.138,300459.SZ,60.8634,68.2992,59.6241,66.6468,60.4503,6.1965,10.2506,7813671.47,3612364.138
44,300459.SZ,20230216,4.12,4.64,4.12,4.39,3.88,0.5099999999999998,13.1443,7185684.18,3184671.032,300459.SZ,56.7324,63.8928,56.7324,60.4503,53.4276,7.0227,13.1443,7185684.18,3184671.032
45,300459.SZ,20230215,3.73,3.96,3.72,3.88,3.74,0.13999999999999968,3.7433,2513768.1,967212.803,300459.SZ,51.3621,54.5292,51.2244,53.4276,51.4998,1.9277999999999977,3.7433,2513768.1,967212.803
46,300459.SZ,20230214,3.8,3.83,3.72,3.74,3.87,-0.1299999999999999,-3.3592,1895948.65,715456.069,300459.SZ,52.326,52.7391,51.2244,51.4998,53.2899,-1.7901000000000025,-3.3592,1895948.65,715456.069
47,300459.SZ,20230213,3.74,3.98,3.61,3.87,3.68,0.18999999999999995,5.163,3340293.06,1265812.489,300459.SZ,51.4998,54.8046,49.7097,53.2899,50.6736,2.6163000000000025,5.163,3340293.06,1265812.489
48,300459.SZ,20230210,3.63,3.82,3.61,3.68,3.66,0.020000000000000018,0.5464,2294398.75,857364.098,300459.SZ,49.9851,52.6014,49.7097,50.6736,50.3982,0.27539999999999765,0.5464,2294398.75,857364.098
49,300459.SZ,20230209,3.54,3.67,3.49,3.66,3.58,0.08000000000000007,2.2346,1517430.28,543157.499,300459.SZ,48.7458,50.5359,48.0573,50.3982,49.2966,1.1016000000000048,2.2346,1517430.28,543157.499
50,300459.SZ,20230208,3.64,3.69,3.54,3.58,3.65,-0.06999999999999984,-1.9178,1649273.66,591729.953,300459.SZ,50.1228,50.8113,48.7458,49.2966,50.2605,-0.9639000000000024,-1.9178,1649273.66,591729.953
51,300459.SZ,20230207,3.6,3.74,3.56,3.65,3.68,-0.03000000000000025,-0.8152,2171371.82,791073.369,300459.SZ,49.572,51.4998,49.0212,50.2605,50.6736,-0.4131,-0.8152,2171371.82,791073.369
52,300459.SZ,20230206,3.53,3.79,3.48,3.68,3.54,0.14000000000000012,3.9548,2728539.16,984379.587,300459.SZ,48.6081,52.1883,47.9196,50.6736,48.7458,1.9277999999999977,3.9548,2728539.16,984379.587
53,300459.SZ,20230203,3.48,3.55,3.45,3.54,3.48,0.06000000000000005,1.7241,1686759.19,592127.847,300459.SZ,47.9196,48.8835,47.5065,48.7458,47.9196,0.8262,1.7241,1686759.19,592127.847
54,300459.SZ,20230202,3.45,3.55,3.42,3.48,3.45,0.029999999999999805,0.8696,2074839.17,725098.117,300459.SZ,47.5065,48.8835,47.0934,47.9196,47.5065,0.4131,0.8696,2074839.17,725098.117
