,ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,300182.SZ,20230420,7.36,7.71,7.31,7.62,7.39,0.23000000000000043,3.1123,2552543.62,1925357.069,300182.SZ,227.1517,237.9537,225.6085,235.1761,228.0776,7.098500000000001,3.1123,2552543.62,1925357.069
1,300182.SZ,20230419,6.99,7.62,6.95,7.39,7.05,0.33999999999999986,4.8227,2733383.57,2010999.696,300182.SZ,215.7324,235.1761,214.4978,228.0776,217.5841,10.493499999999983,4.8227,2733383.57,2010999.696
2,300182.SZ,20230418,7.13,7.16,6.79,7.05,7.11,-0.0600000000000005,-0.8439,1745389.87,1217605.474,300182.SZ,220.0532,220.9791,209.5598,217.5841,219.4359,-1.8517999999999972,-0.8439,1745389.87,1217605.474
3,300182.SZ,20230417,7.32,7.35,7.04,7.11,7.36,-0.25,-3.3967,1830639.14,1307503.291,300182.SZ,225.9172,226.843,217.2755,219.4359,227.1517,-7.7158000000000015,-3.3968,1830639.14,1307503.291
4,300182.SZ,20230414,7.47,7.77,7.08,7.36,7.47,-0.10999999999999943,-1.4726,2558192.64,1895095.696,300182.SZ,230.5466,239.8055,218.51,227.1517,230.5466,-3.394900000000007,-1.4725,2558192.64,1895095.696
5,300182.SZ,20230413,7.4,8.2,7.36,7.47,7.57,-0.10000000000000053,-1.321,3817699.13,2940247.295,300182.SZ,228.3862,253.0766,227.1517,230.5466,233.6329,-3.0862999999999943,-1.321,3817699.13,2940247.295
6,300182.SZ,20230412,7.38,7.62,7.15,7.57,7.45,0.1200000000000001,1.6107,3424553.62,2532808.701,300182.SZ,227.7689,235.1761,220.6705,233.6329,229.9293,3.7035999999999945,1.6108,3424553.62,2532808.701
7,300182.SZ,20230411,6.55,7.77,6.53,7.45,6.53,0.9199999999999999,14.0888,4536888.84,3303513.967,300182.SZ,202.1526,239.8055,201.5354,229.9293,201.5354,28.393900000000002,14.0888,4536888.84,3303513.967
8,300182.SZ,20230410,7.0,7.18,6.38,6.53,6.99,-0.45999999999999996,-6.5808,2696152.84,1818154.406,300182.SZ,216.041,221.5963,196.9059,201.5354,215.7324,-14.197000000000003,-6.5808,2696152.84,1818154.406
9,300182.SZ,20230407,6.37,7.28,6.32,6.99,6.36,0.6299999999999999,9.9057,3343783.18,2281282.526,300182.SZ,196.5973,224.6826,195.0542,215.7324,196.2887,19.443700000000007,9.9057,3343783.18,2281282.526
