,ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,000988.SZ,20230420,32.55,34.89,32.4,34.89,31.72,3.1700000000000017,9.9937,787275.28,2701802.694,000988.SZ,328.13,351.7191,326.6179,351.7191,319.763,31.95610000000005,9.9937,787275.28,2701802.694
1,000988.SZ,20230419,31.65,33.32,31.01,31.72,32.68,-0.9600000000000009,-2.9376,1166874.7,3742607.34,000988.SZ,319.0573,335.8923,312.6056,319.763,329.4405,-9.677500000000009,-2.9376,1166874.7,3742607.34
2,000988.SZ,20230418,30.4,34.0,30.38,32.68,31.05,1.629999999999999,5.2496,1367877.98,4392075.399,000988.SZ,306.4563,342.7472,306.2547,329.4405,313.0088,16.431699999999978,5.2496,1367877.98,4392075.399
3,000988.SZ,20230417,30.71,32.24,30.21,31.05,30.71,0.33999999999999986,1.1071,850796.7,2665977.783,000988.SZ,309.5814,325.005,304.541,313.0088,309.5814,3.427400000000034,1.1071,850796.7,2665977.783
4,000988.SZ,20230414,30.69,31.26,29.38,30.71,30.69,0.019999999999999574,0.0652,761862.48,2312939.707,000988.SZ,309.3798,315.1258,296.1739,309.5814,309.3798,0.2015999999999849,0.0652,761862.48,2312939.707
5,000988.SZ,20230413,31.99,32.35,30.4,30.69,31.66,-0.9699999999999989,-3.0638,728477.86,2284664.499,000988.SZ,322.4848,326.1139,306.4563,309.3798,319.1581,-9.778300000000002,-3.0638,728477.86,2284664.499
6,000988.SZ,20230412,30.9,32.19,30.33,31.66,31.95,-0.28999999999999915,-0.9077,757287.0,2370126.5,000988.SZ,311.4967,324.501,305.7507,319.1581,322.0816,-2.92349999999999,-0.9077,757287.0,2370126.5
7,000988.SZ,20230411,32.27,33.25,30.9,31.95,32.5,-0.5500000000000007,-1.6923,1143125.66,3628886.178,000988.SZ,325.3074,335.1866,311.4967,322.0816,327.626,-5.544399999999996,-1.6923,1143125.66,3628886.178
8,000988.SZ,20230410,32.0,34.08,31.31,32.5,31.77,0.7300000000000004,2.2978,1188602.68,3880655.291,000988.SZ,322.5856,343.5537,315.6298,327.626,320.267,7.3589999999999804,2.2978,1188602.68,3880655.291
9,000988.SZ,20230407,31.98,32.88,30.84,31.77,31.95,-0.17999999999999972,-0.5634,849318.87,2679940.847,000988.SZ,322.384,331.4567,310.8919,320.267,322.0816,-1.8145999999999844,-0.5634,849318.87,2679940.847
10,000988.SZ,20230406,30.99,33.5,30.36,31.95,30.75,1.1999999999999993,3.9024,1641662.46,5240302.024,000988.SZ,312.404,337.7068,306.0531,322.0816,309.9846,12.09699999999998,3.9025,1641662.46,5240302.024
11,000988.SZ,20230404,29.6,30.75,29.34,30.75,27.95,2.8000000000000007,10.0179,1904785.53,5808017.855,000988.SZ,298.3917,309.9846,295.7707,309.9846,281.7584,28.226200000000006,10.0179,1904785.53,5808017.855
12,000988.SZ,20230403,26.88,27.95,26.88,27.95,25.41,2.539999999999999,9.9961,610157.19,1689380.768,000988.SZ,270.9719,281.7584,270.9719,281.7584,256.1531,25.6053,9.9961,610157.19,1689380.768
13,000988.SZ,20230331,24.11,25.8,24.0,25.41,24.09,1.3200000000000003,5.4795,573288.7,1437815.192,000988.SZ,243.0481,260.0846,241.9392,256.1531,242.8465,13.306600000000003,5.4794,573288.7,1437815.192
14,000988.SZ,20230330,23.89,24.88,23.81,24.09,23.92,0.16999999999999815,0.7107,399324.66,968114.176,000988.SZ,240.8303,250.8103,240.0238,242.8465,241.1327,1.713799999999992,0.7107,399324.66,968114.176
15,000988.SZ,20230329,23.31,24.28,23.01,23.92,23.28,0.6400000000000006,2.7491,381812.58,907307.008,000988.SZ,234.9834,244.7618,231.9592,241.1327,234.681,6.451699999999988,2.7491,381812.58,907307.008
16,000988.SZ,20230328,24.0,24.0,23.22,23.28,24.28,-1.0,-4.1186,323035.22,761497.51,000988.SZ,241.9392,241.9392,234.0762,234.681,244.7618,-10.080799999999982,-4.1186,323035.22,761497.51
17,000988.SZ,20230327,23.66,24.58,23.66,24.28,23.68,0.6000000000000014,2.5338,463496.92,1124233.777,000988.SZ,238.5117,247.7861,238.5117,244.7618,238.7133,6.04849999999999,2.5338,463496.92,1124233.777
18,000988.SZ,20230324,23.76,24.28,23.51,23.68,23.54,0.14000000000000057,0.5947,429694.52,1025543.958,000988.SZ,239.5198,244.7618,236.9996,238.7133,237.302,1.4113000000000113,0.5947,429694.52,1025543.958
19,000988.SZ,20230323,22.79,23.97,22.79,23.54,22.81,0.7300000000000004,3.2004,513970.11,1204928.826,000988.SZ,229.7414,241.6368,229.7414,237.302,229.943,7.3589999999999804,3.2004,513970.11,1204928.826
20,000988.SZ,20230322,21.37,22.9,21.22,22.81,21.35,1.4599999999999973,6.8384,510481.51,1138311.749,000988.SZ,215.4267,230.8503,213.9146,229.943,215.2251,14.717900000000014,6.8384,510481.51,1138311.749
21,000988.SZ,20230321,21.29,21.56,21.1,21.35,21.29,0.060000000000002274,0.2818,143776.06,306790.125,000988.SZ,214.6202,217.342,212.7049,215.2251,214.6202,0.6048999999999864,0.2818,143776.06,306790.125
22,000988.SZ,20230320,21.38,21.57,21.19,21.29,21.4,-0.10999999999999943,-0.514,212235.01,454100.533,000988.SZ,215.5275,217.4429,213.6122,214.6202,215.7291,-1.1088999999999771,-0.514,212235.01,454100.533
23,000988.SZ,20230317,20.95,21.54,20.88,21.4,20.78,0.6199999999999974,2.9836,277626.38,592039.265,000988.SZ,211.1928,217.1404,210.4871,215.7291,209.479,6.250099999999975,2.9836,277626.38,592039.265
24,000988.SZ,20230316,20.77,21.18,20.68,20.78,21.04,-0.259999999999998,-1.2357,157681.04,329171.053,000988.SZ,209.3782,213.5113,208.4709,209.479,212.1,-2.620999999999981,-1.2357,157681.04,329171.053
25,000988.SZ,20230315,20.93,21.23,20.82,21.04,20.77,0.2699999999999996,1.3,174615.29,367309.437,000988.SZ,210.9911,214.0154,209.8823,212.1,209.3782,2.7218000000000018,1.2999,174615.29,367309.437
26,000988.SZ,20230314,21.05,21.05,20.44,20.77,21.14,-0.370000000000001,-1.7502,193958.55,401234.459,000988.SZ,212.2008,212.2008,206.0516,209.3782,213.1081,-3.729900000000015,-1.7502,193958.55,401234.459
27,000988.SZ,20230313,20.95,21.17,20.76,21.14,21.08,0.060000000000002274,0.2846,186071.24,389912.803,000988.SZ,211.1928,213.4105,209.2774,213.1081,212.5033,0.6048000000000116,0.2846,186071.24,389912.803
28,000988.SZ,20230310,21.13,21.3,20.97,21.08,21.39,-0.3100000000000023,-1.4493,121119.66,255989.918,000988.SZ,213.0073,214.721,211.3944,212.5033,215.6283,-3.125,-1.4493,121119.66,255989.918
29,000988.SZ,20230309,21.14,21.48,20.93,21.39,21.14,0.25,1.1826,196029.47,417656.283,000988.SZ,213.1081,216.5356,210.9911,215.6283,213.1081,2.5201999999999884,1.1826,196029.47,417656.283
30,000988.SZ,20230308,20.54,21.16,20.45,21.14,20.54,0.6000000000000014,2.9211,200601.36,420809.435,000988.SZ,207.0596,213.3097,206.1524,213.1081,207.0596,6.048500000000018,2.9211,200601.36,420809.435
31,000988.SZ,20230307,21.33,21.4,20.54,20.54,21.32,-0.7800000000000011,-3.6585,229036.97,478162.679,000988.SZ,215.0235,215.7291,207.0596,207.0596,214.9227,-7.863100000000003,-3.6586,229036.97,478162.679
32,000988.SZ,20230306,21.65,21.85,21.23,21.32,20.9,0.4200000000000017,2.0096,267228.01,573169.131,000988.SZ,218.2493,220.2655,214.0154,214.9227,210.6887,4.2339999999999804,2.0096,267228.01,573169.131
33,000988.SZ,20230303,21.08,21.19,20.67,20.9,21.29,-0.39000000000000057,-1.8318,243100.96,508818.989,000988.SZ,212.5033,213.6122,208.3701,210.6887,214.6202,-3.9314999999999998,-1.8318,243100.96,508818.989
34,000988.SZ,20230302,21.12,21.56,20.91,21.29,21.02,0.2699999999999996,1.2845,356373.8,757899.78,000988.SZ,212.9065,217.342,210.7895,214.6202,211.8984,2.7218000000000018,1.2845,356373.8,757899.78
35,000988.SZ,20230301,20.35,21.17,20.2,21.02,19.92,1.0999999999999979,5.5221,501814.7,1042113.299,000988.SZ,205.1443,213.4105,203.6322,211.8984,200.8095,11.088899999999995,5.5221,501814.7,1042113.299
36,000988.SZ,20230228,19.9,20.15,19.67,19.92,19.78,0.14000000000000057,0.7078,197402.83,392338.415,000988.SZ,200.6079,203.1281,198.2893,200.8095,199.3982,1.4113000000000113,0.7078,197402.83,392338.415
37,000988.SZ,20230227,19.68,19.97,19.59,19.78,19.78,0.0,0.0,118614.5,234958.744,000988.SZ,198.3901,201.3136,197.4829,199.3982,199.3982,0.0,0.0,118614.5,234958.744
38,000988.SZ,20230224,19.81,19.96,19.63,19.78,19.81,-0.029999999999997584,-0.1514,101804.49,201344.314,000988.SZ,199.7006,201.2128,197.8861,199.3982,199.7006,-0.3024000000000058,-0.1514,101804.49,201344.314
39,000988.SZ,20230223,20.0,20.2,19.66,19.81,19.92,-0.11000000000000298,-0.5522,127857.34,253972.745,000988.SZ,201.616,203.6322,198.1885,199.7006,200.8095,-1.1089000000000055,-0.5522,127857.34,253972.745
40,000988.SZ,20230222,19.63,20.02,19.61,19.92,19.7,0.22000000000000242,1.1168,106423.69,210952.114,000988.SZ,197.8861,201.8176,197.6845,200.8095,198.5918,2.2177000000000078,1.1167,106423.69,210952.114
41,000988.SZ,20230221,19.87,19.94,19.55,19.7,19.87,-0.1700000000000017,-0.8556,96637.04,190831.287,000988.SZ,200.3055,201.0112,197.0796,198.5918,200.3055,-1.7136999999999887,-0.8555,96637.04,190831.287
42,000988.SZ,20230220,19.47,19.95,19.21,19.87,19.4,0.4700000000000024,2.4227,132515.69,260396.984,000988.SZ,196.2732,201.112,193.6522,200.3055,195.5675,4.7379999999999995,2.4227,132515.69,260396.984
43,000988.SZ,20230217,19.82,19.95,19.33,19.4,19.82,-0.4200000000000017,-2.1191,164093.24,320623.085,000988.SZ,199.8015,201.112,194.8619,195.5675,199.8015,-4.234000000000009,-2.1191,164093.24,320623.085
44,000988.SZ,20230216,20.12,20.5,19.57,19.82,20.13,-0.3099999999999987,-1.54,234997.27,472337.564,000988.SZ,202.8257,206.6564,197.2813,199.8015,202.9265,-3.125,-1.54,234997.27,472337.564
45,000988.SZ,20230215,19.76,20.27,19.71,20.13,19.82,0.3099999999999987,1.5641,160141.44,320252.255,000988.SZ,199.1966,204.3378,198.6926,202.9265,199.8015,3.125,1.5641,160141.44,320252.255
46,000988.SZ,20230214,19.82,20.04,19.76,19.82,19.76,0.05999999999999872,0.3036,127692.58,253898.468,000988.SZ,199.8015,202.0192,199.1966,199.8015,199.1966,0.6049000000000149,0.3037,127692.58,253898.468
47,000988.SZ,20230213,19.82,19.94,19.61,19.76,19.82,-0.05999999999999872,-0.3027,158205.49,312712.471,000988.SZ,199.8015,201.0112,197.6845,199.1966,199.8015,-0.6049000000000149,-0.3028,158205.49,312712.471
48,000988.SZ,20230210,19.9,20.46,19.59,19.82,20.09,-0.2699999999999996,-1.344,255505.53,510548.934,000988.SZ,200.6079,206.2532,197.4829,199.8015,202.5233,-2.7218000000000018,-1.3439,255505.53,510548.934
49,000988.SZ,20230209,19.18,20.16,19.1,20.09,19.3,0.7899999999999991,4.0933,203434.53,403034.935,000988.SZ,193.3497,203.2289,192.5433,202.5233,194.5594,7.963899999999995,4.0933,203434.53,403034.935
50,000988.SZ,20230208,19.76,19.9,19.27,19.3,19.68,-0.379999999999999,-1.9309,139852.41,272798.134,000988.SZ,199.1966,200.6079,194.257,194.5594,198.3901,-3.830699999999979,-1.9309,139852.41,272798.134
51,000988.SZ,20230207,19.26,19.84,19.21,19.68,19.18,0.5,2.6069,175094.62,343846.376,000988.SZ,194.1562,200.0031,193.6522,198.3901,193.3497,5.040399999999977,2.6069,175094.62,343846.376
52,000988.SZ,20230206,19.08,19.41,19.08,19.18,19.19,-0.010000000000001563,-0.0521,86257.13,165777.349,000988.SZ,192.3417,195.6683,192.3417,193.3497,193.4506,-0.10089999999999577,-0.0522,86257.13,165777.349
53,000988.SZ,20230203,19.03,19.24,18.85,19.19,19.03,0.16000000000000014,0.8408,126627.3,241243.164,000988.SZ,191.8376,193.9546,190.0231,193.4506,191.8376,1.6129999999999995,0.8408,126627.3,241243.164
54,000988.SZ,20230202,19.2,19.29,19.0,19.03,19.1,-0.07000000000000028,-0.3665,118480.22,226963.601,000988.SZ,193.5514,194.4586,191.5352,191.8376,192.5433,-0.7056999999999789,-0.3665,118480.22,226963.601
55,000988.SZ,20230201,18.96,19.19,18.88,19.1,18.76,0.33999999999999986,1.8124,145305.65,277403.481,000988.SZ,191.132,193.4506,190.3255,192.5433,189.1158,3.4274999999999807,1.8124,145305.65,277403.481
56,000988.SZ,20230131,18.76,18.93,18.67,18.76,18.82,-0.05999999999999872,-0.3188,101066.91,190060.594,000988.SZ,189.1158,190.8295,188.2085,189.1158,189.7207,-0.6048999999999864,-0.3188,101066.91,190060.594
57,000988.SZ,20230130,18.95,19.1,18.75,18.82,18.7,0.120000000000001,0.6417,139283.44,263240.143,000988.SZ,191.0312,192.5433,189.015,189.7207,188.511,1.209699999999998,0.6417,139283.44,263240.143
58,000988.SZ,20230120,18.76,18.94,18.56,18.7,18.77,-0.07000000000000028,-0.3729,123837.99,231823.19,000988.SZ,189.1158,190.9304,187.0996,188.511,189.2166,-0.705600000000004,-0.3729,123837.99,231823.19
59,000988.SZ,20230119,18.12,18.85,18.1,18.77,18.21,0.5599999999999987,3.0752,183725.32,342943.969,000988.SZ,182.6641,190.0231,182.4625,189.2166,183.5714,5.6451999999999884,3.0752,183725.32,342943.969
60,000988.SZ,20230118,18.08,18.29,17.99,18.21,18.08,0.13000000000000256,0.719,145656.72,264504.944,000988.SZ,182.2609,184.3778,181.3536,183.5714,182.2609,1.3105000000000189,0.719,145656.72,264504.944
61,000988.SZ,20230117,17.6,18.1,17.54,18.08,17.53,0.5499999999999972,3.1375,189411.85,338956.148,000988.SZ,177.4221,182.4625,176.8172,182.2609,176.7164,5.544499999999999,3.1375,189411.85,338956.148
62,000988.SZ,20230116,17.38,17.73,17.36,17.53,17.39,0.14000000000000057,0.8051,120378.24,211889.773,000988.SZ,175.2043,178.7326,175.0027,176.7164,175.3051,1.411299999999983,0.8051,120378.24,211889.773
63,000988.SZ,20230113,17.35,17.45,17.28,17.39,17.35,0.03999999999999915,0.2305,52540.18,91178.683,000988.SZ,174.9019,175.91,174.1962,175.3051,174.9019,0.4031999999999982,0.2305,52540.18,91178.683
64,000988.SZ,20230112,17.3,17.45,17.23,17.35,17.31,0.0400000000000027,0.2311,60628.56,105136.118,000988.SZ,174.3978,175.91,173.6922,174.9019,174.4986,0.40330000000000155,0.2311,60628.56,105136.118
65,000988.SZ,20230111,17.11,17.57,17.1,17.31,17.11,0.1999999999999993,1.1689,117710.93,204470.907,000988.SZ,172.4825,177.1197,172.3817,174.4986,172.4825,2.016100000000023,1.1689,117710.93,204470.907
66,000988.SZ,20230110,17.25,17.35,17.04,17.11,17.28,-0.1700000000000017,-0.9838,78587.43,134652.614,000988.SZ,173.8938,174.9019,171.7768,172.4825,174.1962,-1.713700000000017,-0.9838,78587.43,134652.614
67,000988.SZ,20230109,17.2,17.37,17.18,17.28,17.18,0.10000000000000142,0.5821,83612.61,144607.165,000988.SZ,173.3898,175.1035,173.1881,174.1962,173.1881,1.008100000000013,0.5821,83612.61,144607.165
68,000988.SZ,20230106,17.12,17.35,17.08,17.18,17.18,0.0,0.0,82041.58,141299.728,000988.SZ,172.5833,174.9019,172.1801,173.1881,173.1881,0.0,0.0,82041.58,141299.728
69,000988.SZ,20230105,17.1,17.25,16.91,17.18,17.04,0.14000000000000057,0.8216,111676.81,190418.021,000988.SZ,172.3817,173.8938,170.4663,173.1881,171.7768,1.411299999999983,0.8216,111676.81,190418.021
70,000988.SZ,20230104,17.05,17.19,16.86,17.04,17.05,-0.010000000000001563,-0.0587,82197.34,140104.17,000988.SZ,171.8776,173.289,169.9623,171.7768,171.8776,-0.10079999999999245,-0.0586,82197.34,140104.17
71,000988.SZ,20230103,16.43,17.12,16.43,17.05,16.41,0.6400000000000006,3.9001,145637.98,245868.973,000988.SZ,165.6275,172.5833,165.6275,171.8776,165.4259,6.451699999999988,3.9001,145637.98,245868.973
72,000988.SZ,20221230,16.3,16.46,16.25,16.41,16.28,0.129999999999999,0.7985,60172.9,98501.16,000988.SZ,164.317,165.93,163.813,165.4259,164.1154,1.3105000000000189,0.7985,60172.9,98501.16
73,000988.SZ,20221229,16.24,16.53,16.23,16.28,16.34,-0.05999999999999872,-0.3672,68106.14,111359.126,000988.SZ,163.7122,166.6356,163.6114,164.1154,164.7203,-0.6049000000000149,-0.3672,68106.14,111359.126
