,ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,002624.SZ,20230420,18.81,21.0,18.81,21.0,19.09,1.9100000000000001,10.0052,1519343.38,3099050.539,002624.SZ,64.3302,71.82,64.3302,71.82,65.2878,6.532199999999989,10.0052,1519343.38,3099050.539
1,002624.SZ,20230419,18.68,19.8,18.67,19.09,18.94,0.14999999999999858,0.792,910292.16,1766668.74,002624.SZ,63.8856,67.716,63.8514,65.2878,64.7748,0.5130000000000052,0.792,910292.16,1766668.74
2,002624.SZ,20230418,19.11,19.46,18.47,18.94,19.3,-0.35999999999999943,-1.8653,999540.07,1883738.447,002624.SZ,65.3562,66.5532,63.1674,64.7748,66.006,-1.2312000000000012,-1.8653,999540.07,1883738.447
3,002624.SZ,20230417,20.5,20.77,19.15,19.3,20.16,-0.8599999999999994,-4.2659,1210873.65,2397130.432,002624.SZ,70.11,71.0334,65.493,66.006,68.9472,-2.941199999999995,-4.2659,1210873.65,2397130.432
4,002624.SZ,20230414,19.64,20.61,19.0,20.16,19.84,0.3200000000000003,1.6129,1309565.15,2615875.265,002624.SZ,67.1688,70.4862,64.98,68.9472,67.8528,1.0943999999999932,1.6129,1309565.15,2615875.265
5,002624.SZ,20230413,20.86,20.99,19.54,19.84,20.46,-0.620000000000001,-3.0303,1709206.97,3457672.696,002624.SZ,71.3412,71.7858,66.8268,67.8528,69.9732,-2.1204000000000036,-3.0303,1709206.97,3457672.696
6,002624.SZ,20230412,18.47,20.46,18.45,20.46,18.6,1.8599999999999994,10.0,1080041.04,2121972.375,002624.SZ,63.1674,69.9732,63.099,69.9732,63.612,6.361200000000004,10.0,1080041.04,2121972.375
7,002624.SZ,20230411,18.08,19.24,17.84,18.6,18.09,0.5100000000000016,2.8192,1004430.01,1868222.183,002624.SZ,61.8336,65.8008,61.0128,63.612,61.8678,1.7441999999999993,2.8192,1004430.01,1868222.183
8,002624.SZ,20230410,19.76,20.0,18.03,18.09,19.56,-1.4699999999999989,-7.5153,1070507.27,2012898.462,002624.SZ,67.5792,68.4,61.6626,61.8678,66.8952,-5.0274,-7.5153,1070507.27,2012898.462
9,002624.SZ,20230407,18.94,19.87,18.37,19.56,18.42,1.139999999999997,6.1889,965030.55,1850948.945,002624.SZ,64.7748,67.9554,62.8254,66.8952,62.9964,3.8988000000000014,6.1889,965030.55,1850948.945
